Compound,SMILES,Molecular_Weight,LogP,H_Donors,H_Acceptors,TPSA,Rotatable_Bonds
Talo-1,O=C(O[C@H]1[C@@H](OCN2C=C(C3=CC(OC)=CC=C3)N=N2)[C@@H](O)[C@@H](CO)O[C@H]1OC)C4=C([N+]([O-])=O)C=CC=C4,530.4900000000002,1.1546999999999998,2,12,177.53,10
Talo-2,O=C(O[C@H]1[C@@H](OCN2C=C(C3=C(OC)C=CC=C3)N=N2)[C@@H](O)[C@@H](CO)O[C@H]1OC)C4=C([N+]([O-])=O)C=CC=C4,530.4900000000002,1.1546999999999998,2,12,177.53,10
Talo-3,O=C(O[C@H]1[C@@H](OCN2C=C(C3=CC=CC=C3)N=N2)[C@@H](O)[C@@H](CO)O[C@H]1OC)C4=C([N+]([O-])=O)C=CC=C4,500.4640000000003,1.1460999999999995,2,11,168.3,9
Talo-4,O=C(O[C@H]1[C@@H](OCN2C=C(C3=CC=C(OC)C=C3)N=N2)[C@@H](O)[C@@H](CO)O[C@H]1OC)C4=C([N+]([O-])=O)C=CC=C4,530.4900000000002,1.1546999999999998,2,12,177.53,10
Talo-5,O=C(O[C@H]1[C@@H](OCN2C=C(C3=CN=CC=C3)N=N2)[C@@H](O)[C@@H](CO)O[C@H]1OC)C4=C([N+]([O-])=O)C=CC=C4,501.4520000000003,0.5410999999999995,2,12,181.19,9
Talo-6,O=C(O[C@H]1[C@@H](OCN2C=C(C3=CC(F)=CC=C3)N=N2)[C@@H](O)[C@@H](CO)O[C@H]1OC)C4=C([N+]([O-])=O)C=CC=C4,518.4540000000003,1.2851999999999997,2,11,168.3,9
Talo-7,O=C(O[C@H]1[C@@H](OCN2C=C(C3=CC(Cl)=CC=C3)N=N2)[C@@H](O)[C@@H](CO)O[C@H]1OC)C4=C([N+]([O-])=O)C=CC=C4,534.9090000000003,1.7994999999999997,2,11,168.3,9
Talo-8,O=C(O[C@H]1[C@@H](OCN2C=C(C3=CC(I)=CC=C3)N=N2)[C@@H](O)[C@@H](CO)O[C@H]1OC)C4=C([N+]([O-])=O)C=CC=C4,626.3600000000001,1.7506999999999997,2,11,168.3,9
Talo-9,O=C(O[C@H]1[C@@H](OCN2C=C(C3=CC(Br)=CC=C3)N=N2)[C@@H](O)[C@@H](CO)O[C@H]1OC)C4=C([N+]([O-])=O)C=CC=C4,579.3600000000002,1.9085999999999994,2,11,168.3,9
Talo-10,O=C(O[C@H]1[C@@H](OCN2C=C(C3=CC(N)=CC=C3)N=N2)[C@@H](O)[C@@H](CO)O[C@H]1OC)C4=C([N+]([O-])=O)C=CC=C4,515.4790000000003,0.7283000000000003,3,12,194.31999999999996,9
